"P1_nonsyn" "P2_nonsyn" "P1_syn" "P2_syn" "D_nonsyn" "D_syn" "neutrality.index" "alpha" "fisher.P.value"
"45" 4 19 5 16 0 0 NA NA NA
"46" 1 10 2 3 0 0 NA NA NA
"47" 2 7 3 4 0 0 NA NA NA
"48" 1 5 1 1 0 0 NA NA NA
"49" 1 10 0 3 0 0 NA NA NA
"50" 1 9 0 1 0 0 NA NA NA
"51" 1 13 0 4 0 0 NA NA NA
"52" 0 2 1 4 0 0 NA NA NA
"53" 6 21 1 3 0 0 NA NA NA
"54" 6 14 4 9 0 0 NA NA NA
"55" 4 10 1 7 0 0 NA NA NA
"56" 4 8 1 7 0 0 NA NA NA
"57" 0 2 0 3 0 0 NA NA NA
"58" 1 2 0 2 0 0 NA NA NA
"59" 4 6 7 9 0 0 NA NA NA
"60" 12 25 21 35 0 0 NA NA NA
"61" 4 3 5 9 0 0 NA NA NA
"62" 19 35 8 19 0 0 NA NA NA
"63" 4 13 9 21 0 0 NA NA NA
"64" 4 10 2 6 0 0 NA NA NA
"65" 1 22 1 3 0 0 NA NA NA
"66" 6 31 1 5 0 0 NA NA NA
"67" 9 52 3 19 0 0 NA NA NA
"68" 0 0 0 1 0 0 NA NA NA
"69" 1 3 0 4 0 0 NA NA NA
"70" 4 10 2 11 0 0 NA NA NA
"71" 0 17 0 11 0 0 NA NA NA
"72" 1 9 0 11 0 0 NA NA NA
"73" 1 5 0 15 0 0 NA NA NA
"74" 10 25 11 18 0 0 NA NA NA
"75" 3 16 1 13 0 0 NA NA NA
"76" 1 6 1 5 0 0 NA NA NA
"77" 4 24 2 18 0 0 NA NA NA
"78" 1 29 1 26 0 0 NA NA NA
"79" 10 21 10 18 0 0 NA NA NA
"80" 4 12 2 8 0 0 NA NA NA
"81" 5 10 3 9 0 0 NA NA NA
"82" 1 3 1 2 0 0 NA NA NA
"83" 0 2 0 1 0 0 NA NA NA
"84" 11 31 4 15 0 0 NA NA NA
"85" 3 6 2 6 0 0 NA NA NA
"86" 3 9 7 10 0 0 NA NA NA
"87" 1 5 3 8 0 0 NA NA NA
"88" 2 4 3 7 0 0 NA NA NA
"89" 0 2 1 4 0 0 NA NA NA
"90" 12 32 4 18 0 0 NA NA NA
"91" 0 5 2 11 0 0 NA NA NA
"92" 3 4 1 2 0 0 NA NA NA
"93" 6 15 1 4 0 0 NA NA NA
"94" 15 30 8 16 0 0 NA NA NA
"95" 2 5 2 2 0 0 NA NA NA
"96" 11 19 2 6 0 0 NA NA NA
"97" 18 35 2 8 0 0 NA NA NA
"98" 3 11 4 11 0 0 NA NA NA
"99" 2 5 1 3 0 0 NA NA NA
"100" 1 8 3 7 0 0 NA NA NA
"101" 55 106 32 54 0 0 NA NA NA
"102" 2 3 1 2 0 0 NA NA NA
"103" 0 0 0 0 0 0 NA NA NA
"104" 1 9 4 7 0 0 NA NA NA
"105" 4 12 0 10 0 0 NA NA NA
"106" 4 12 2 6 0 0 NA NA NA
"107" 0 4 1 4 0 0 NA NA NA
"108" 1 14 0 9 0 0 NA NA NA
"109" 1 7 1 2 0 0 NA NA NA
"110" 31 52 29 41 0 0 NA NA NA
"111" 14 18 10 16 0 0 NA NA NA
"112" 35 53 24 39 0 0 NA NA NA
"113" 1 10 1 15 0 0 NA NA NA
"114" 1 6 0 9 0 0 NA NA NA
"115" NA NA NA NA NA NA NA NA NA
"116" 0 0 0 0 0 0 NA NA NA
"117" NA NA NA NA NA NA NA NA NA
"118" NA NA NA NA NA NA NA NA NA
"119" 2 23 3 18 0 0 NA NA NA
"120" 1 4 3 3 0 0 NA NA NA
"121" 3 10 0 6 0 0 NA NA NA
"122" 8 34 3 25 0 0 NA NA NA
"123" 0 6 0 3 0 0 NA NA NA
"124" 0 11 1 7 0 0 NA NA NA
"125" 6 30 2 16 0 0 NA NA NA
"126" 2 9 0 10 0 0 NA NA NA
"127" 1 4 0 2 0 0 NA NA NA
"128" 3 27 1 11 0 0 NA NA NA
"129" 1 14 0 2 0 0 NA NA NA
"130" 5 29 2 8 0 0 NA NA NA
"131" 2 18 1 12 0 0 NA NA NA
"132" 2 5 0 0 0 0 NA NA NA
"133" 1 4 2 10 0 0 NA NA NA
"134" 2 8 0 4 0 0 NA NA NA
"135" 2 9 0 5 0 0 NA NA NA
"136" 0 13 1 15 0 0 NA NA NA
"137" 1 8 6 13 0 0 NA NA NA
"138" 2 20 1 17 0 0 NA NA NA
"139" 0 2 0 0 0 0 NA NA NA
"140" 1 4 0 0 0 0 NA NA NA
"141" 0 4 0 3 0 0 NA NA NA
"142" 1 8 0 2 0 0 NA NA NA
"143" 1 5 1 4 0 0 NA NA NA
"144" 7 33 3 14 0 0 NA NA NA
"145" 4 10 1 12 0 0 NA NA NA
"146" 17 57 19 38 0 0 NA NA NA
"147" 14 39 4 11 0 0 NA NA NA
"148" 6 52 6 28 0 0 NA NA NA
"149" 4 23 1 10 0 0 NA NA NA
"150" 9 25 1 14 0 0 NA NA NA
"151" 42 84 24 58 0 0 NA NA NA
"152" 4 11 3 5 0 0 NA NA NA
"153" 0 9 3 14 0 0 NA NA NA
"154" 8 32 2 15 0 0 NA NA NA
"155" 0 6 0 1 0 0 NA NA NA
"156" 6 21 5 15 0 0 NA NA NA
"157" 9 36 6 19 0 0 NA NA NA
"158" 2 10 1 3 0 0 NA NA NA
"159" 11 51 11 28 0 0 NA NA NA
"160" 6 27 5 17 0 0 NA NA NA
"161" 2 3 0 0 0 0 NA NA NA
"162" 4 22 7 24 0 0 NA NA NA
"163" 1 13 5 16 0 0 NA NA NA
"164" 15 55 7 19 0 0 NA NA NA
"165" 0 7 0 0 0 0 NA NA NA
"166" 6 12 5 7 0 0 NA NA NA
"167" 3 14 0 8 0 0 NA NA NA
"168" 8 22 13 27 0 0 NA NA NA
"169" 27 90 10 37 0 0 NA NA NA
"170" 4 13 3 6 0 0 NA NA NA
"171" 13 43 3 22 0 0 NA NA NA
"172" 17 30 6 11 0 0 NA NA NA
"173" 2 7 1 4 0 0 NA NA NA
"174" 6 32 4 21 0 0 NA NA NA
"175" 2 8 0 0 0 0 NA NA NA
"176" 3 30 0 8 0 0 NA NA NA
"177" 8 33 3 14 0 0 NA NA NA
"178" 9 39 5 20 0 0 NA NA NA
"179" 6 24 2 18 0 0 NA NA NA
"180" 2 8 1 7 0 0 NA NA NA
"181" 0 13 1 11 0 0 NA NA NA
"182" 2 19 4 18 0 0 NA NA NA
"183" 11 46 8 25 0 0 NA NA NA
"184" 9 29 6 17 0 0 NA NA NA
"185" 12 41 5 20 0 0 NA NA NA
"186" 4 9 5 17 0 0 NA NA NA
"187" 1 20 1 7 0 0 NA NA NA
"188" 4 26 1 5 0 0 NA NA NA
"189" 7 22 3 3 0 0 NA NA NA
"190" 8 58 4 27 0 0 NA NA NA
"191" 6 45 5 19 0 0 NA NA NA
"192" 3 15 4 13 0 0 NA NA NA
"193" 0 2 0 1 0 0 NA NA NA
"194" 5 16 8 29 0 0 NA NA NA
"195" 10 33 6 33 0 0 NA NA NA
"196" 23 65 5 25 0 0 NA NA NA
"197" 1 2 2 3 0 0 NA NA NA
"198" 7 36 3 17 0 0 NA NA NA
"199" 5 21 2 21 0 0 NA NA NA
"200" 1 11 0 6 0 0 NA NA NA
"201" 3 21 8 25 0 0 NA NA NA
"202" 4 15 3 8 0 0 NA NA NA
"203" 0 0 0 12 0 0 NA NA NA
"204" 0 0 7 21 0 0 NA NA NA
"205" 0 0 2 24 0 0 NA NA NA
"206" 0 0 7 20 0 0 NA NA NA
"207" 4 18 3 22 0 0 NA NA NA
"208" 3 16 2 15 0 0 NA NA NA
"209" 12 37 3 21 0 0 NA NA NA
"210" 14 39 3 25 0 0 NA NA NA
"211" 3 17 2 19 0 0 NA NA NA
"212" 24 78 6 33 0 0 NA NA NA
"213" 5 17 1 14 0 0 NA NA NA
"214" 0 2 2 2 0 0 NA NA NA
"215" 15 48 9 16 0 0 NA NA NA
"216" 17 57 4 18 0 0 NA NA NA
"217" 4 7 1 5 0 0 NA NA NA
"218" 3 7 3 6 0 0 NA NA NA
"219" 0 5 1 3 0 0 NA NA NA
"220" 2 8 2 2 0 0 NA NA NA
"221" 4 8 2 4 0 0 NA NA NA
"222" 0 3 3 8 0 0 NA NA NA
"223" 3 7 0 7 0 0 NA NA NA
"224" 0 6 0 3 0 0 NA NA NA
"225" 0 0 0 0 0 0 NA NA NA
